,values,score
225,"0.0765858936267*ny: 0.0679566412178*york, 0.0341954889153*jorge 0.0248133733204*gestalt 0.0137093116572*new 0.0101990880182*tadeusz 0.0101990480766*perls 0.0101990287123*laura 0.00972181283537*adapted 0.00972181281809*serious",-85.2340915123
226,"0.0601919512968*. 0.0573601315378*house, 0.0335119936701*mathematics, 0.0292661372028*(london: 0.0272591393828*symbols 0.0234446774982*(new 0.019703673521*edited 0.0166297030266*étienne 0.0166297005931*random 0.0139628803983*,",-86.415768774
227,"0.114268208709*art 0.0626138164676*am 0.0309827306499*magazine 0.0263920622966*images 0.020227814435*youtube. 0.020227805462*germany 0.0186755713505*5, 0.0167509173927*sculpture 0.0163197321556*head 0.0101377430567*gallery",-86.5397700831
228,0.226154303406*du 0.191819257818*trans. 0.0342964163719*- 0.0305125231975*published 0.0280689951691*(paris: 0.0167935326962*dreyfus 0.015925075267*émile 0.00840465636396*individuation 0.00782576506094*& 0.00465414748556*theory,-86.7086922588
229,0.013670979775*external 0.0123489489042*university 0.0117647277304*w 0.0111735787205*something 0.00965641254293*means 0.00946766462175*mufti 0.00913543592344*real 0.00852520605207*inner 0.00791396999299*true 0.00761251856805*white,-86.7267915501
230,0.104429026933*rudolf 0.0652391162801*k. 0.0335937180406*german 0.0264711931331*berlin 0.0215268188058*london 0.0149181079198*later 0.0143247939621*al-atassi 0.014324792477*al-azm 0.0117026021275*december 0.00481372383373*former,-87.1565645072
231,"0.195404998412*law 0.173516417796*legal 0.0417863246197*justice 0.0253442518825*political 0.0222190510983*ed., 0.0147610077639*symbolic 0.0145353407709*significant 0.0113842021741*theory 0.01099131385*indiana 0.00913229794414*state",-87.3482723383
232,0.110328076436*logic 0.0323133144879*stephen 0.0313269030234*philosophy 0.0212889802947*science 0.0204248504185*paul 0.0170807411918*argument 0.0164083087832*university 0.01611255674*mentioned 0.0161125563432*feast 0.0157878074357*robert,-88.0225717901
233,"0.0466805979181*theory, 0.0372420492564*comparative 0.0371120073769*edited 0.0364506883494*indian 0.0303125586979*pages 0.030000632572*hindu 0.0232157587852*texts 0.0205402632065*yoga 0.0205117339099*sutras 0.0202685859161*press)",-89.3524210316
234,"0.028088934815*east 0.0266662660104*physics, 0.020530629924*abdul 0.0162260599748*scholar 0.0160993417421*experimental 0.0154004619106*quantum 0.0137656624698*interest 0.0133407009097*java 0.013340700884*prof. 0.013340700743*manhattan",-89.8677377167
235,"0.0958666203771*editions 0.0594778092626*imam 0.0185585843984*minhaj 0.018315980259*en 0.0144752109694*jean 0.0143020638349*translated 0.0138141075444*pedro 0.0138141072036*hobhouse 0.0138141069013*loïc 0.0138141068967*wacquant,",-90.2527786772
236,"0.0316282898091*spiritual 0.0264846679139*value 0.0210384859827*common 0.018007469804*1913 0.0155806828619*wiley 0.0153247523555*contract 0.0133197293037*know 0.0129025676941*cicero 0.0129025675316*translation, 0.0129025674263*accumulation",-91.4614273741
237,"0.0211737196903*intelligence 0.0201880743942*history 0.0200019248572*artificial 0.0177582036155*hoover 0.0177582034119*lutheran 0.0155785285332*book 0.0153650114014*atheist 0.0129718186858*bce 0.0129718178691*who's 0.0129718176598*christianity,",-91.7089214548
238,0.0671413397402*chicago 0.0373102948649*korean 0.0225957748276*choice 0.022410862378*dream 0.0154283251041*political 0.0114224942584*retrieved 0.0112966122439*standards 0.007780895125*ayn 0.00778088565897*journal. 0.00778087664972*2013-09-18.,-92.7030710112
239,"0.125519768246*professor 0.0506930308017*open 0.0442251246636*said, 0.0339416410089*text 0.0279933997458*growth 0.0213151344339*theory 0.0197138699558*quantum 0.0187489403948*systems 0.017657536821*know 0.0155102949059*you",-92.7085362386
240,"0.214432746127*philosophical 0.0915577643778*philosophy 0.0484906225188*ludwig 0.0484854784274*university 0.0474913107674*yale 0.0416888753073*richard 0.04015880405*wittgenstein 0.0153361092769*wittgenstein, 0.0122783157079*language 0.0115567335603*nature",-93.5728540483
241,0.174233391327*chinese 0.0567438247371*school 0.05298005524*shaykh 0.0360139982051*confucianism 0.0176733859623*gilles 0.0143492794971*ananda 0.0143492790416*government's 0.0110251730646*halle 0.00933706173599*official 0.00735679465956*palestinian,-94.7780920965
242,0.0315123429703*bible 0.0199837059646*biblical 0.0189311377141*needed] 0.0167444939459*south 0.0151250281516*india 0.0140562750309*church 0.0114632488366*executive 0.0108712219149*reformation 0.0100527792228*india. 0.00949130474497*2006).,-95.4944531301
243,0.0678384140453*independent 0.0587673892263*biography 0.0528351227843*media 0.0488523934511*radio 0.0376213522775*alain 0.029766587522*saudi 0.0272425635472*dr. 0.0217005475749*bin 0.0143804624532*enlightenment 0.0143804313311*goodman,-95.9583783061
244,"0.0451637928131*science, 0.0357683616068*translated 0.0353481499362*albert 0.0305332316989*sciences 0.0299298845998*natural 0.0280600407262*aristotle's 0.0270358344812*aristotle 0.022440029782*justification 0.0207429600189*hermeneutics 0.017769464457*edited",-96.6769349573
245,"0.019317221859*ibn 0.0190889150701*medieval 0.0180038587843*bernard 0.0177412126752*ages 0.0172277240435*late 0.0127019521316*franciscan 0.0112788162561*routledge, 0.0112457254481*paradox 0.0109015336089*j. 0.00978997017995*rapids:",-97.0088851504
246,"0.277344173503*university 0.27411056528*philosophy 0.136123196614*press, 0.06041194454*new 0.0472399809073*· 0.0254263585209*michael 0.0230242692176*cambridge 0.0104881819049*cambridge: 0.00658983652193*american 0.00604176330526*swiss",-98.6723631355
247,0.0289997341866*poetic 0.0229330375697*poets 0.0193864328257*letters 0.0179794625681*library 0.0174808826521*west 0.0169596260502*accessed 0.0168154229019*faber 0.0147084859393*company. 0.0147083933386*owen 0.0127535752526*conquest,-99.330263017
248,"0.0315268238618*della 0.0286799709376*ed. 0.026737190063*- 0.0215400778584*brian 0.0190657689445*press: 0.0167227467178*analytic 0.0155002396311*filosofia 0.0150775464994*oxford, 0.0149963718863*(2000). 0.0143645554334*anglican",-106.797095403
249,0.105381689044*ibn 0.0671855117836*article 0.0582269598265*arabic 0.0483146466957*pg. 0.0406221072483*andré 0.0176758647489*kitāb 0.0153642799705*(french) 0.0148487752484*2007 0.0110560844998*ch. 0.0101662857209*tafsir,-113.192100195
